Name,Business Id,Rating,Url,State,Country,Latitude,Longitude,Lookup,Concatenated Key,Check
Tonto National Forest,M1ohFUK4fLGSFoDXhLA33Q,4.5,https://www.yelp.com/biz/tonto-national-forest-mesa-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.45,-111.72,#N/A,33.45-111.72,#N/A
Cave Creek Regional Park,_Np8JfQaZ5tElOn4ef89_w,4.5,https://www.yelp.com/biz/cave-creek-regional-park-cave-creek?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.82,-112.02,#N/A,33.82-112.02,#N/A
Desert's Edge RV Park,4dYIIpO5LWLjdRKUKvUY0g,3,https://www.yelp.com/biz/deserts-edge-rv-park-phoenix?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.69,-112.11,#N/A,33.69-112.11,#N/A
Papago Park,xC1-8kKTeLkF85GZ9IfVow,4.5,https://www.yelp.com/biz/papago-park-phoenix?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.45,-111.95,#N/A,33.45-111.95,#N/A
San Tan Mountain Regional Park,UGahpxyC1Yyv76vJ317cOg,4.5,https://www.yelp.com/biz/san-tan-mountain-regional-park-queen-creek-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.17,-111.64,#N/A,33.17-111.64,#N/A
REI Co-op Adventure Center,HRxCNChQNu7maK29qviS7A,5,https://www.yelp.com/biz/rei-co-op-adventure-center-scottsdale?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.64,-111.88,#N/A,33.64-111.88,#N/A
Jack Ass Acres K-9 Korral,i3dcrfgG92GC6RNYCC-5GQ,5,https://www.yelp.com/biz/jack-ass-acres-k-9-korral-new-river?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.9,-112.15,#N/A,33.9-112.15,#N/A
Boulder Canyon Trail - Superstition Mountain,C5A30a4_2ZCzcQ5XVUkNFQ,4.5,https://www.yelp.com/biz/boulder-canyon-trail-superstition-mountain-tortilla-flat?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.54,-111.42,#N/A,33.54-111.42,#N/A
Hot Springs National Park,xzldq5nAxbB4VcuSjW5ycw,4.5,https://www.yelp.com/biz/hot-springs-national-park-hot-springs?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.51,-93.05,Hot Springs National Park,34.51-93.05,#N/A
The Old Mill,OiZ-vX-_-5DN9TbD0z-WRw,5,https://www.yelp.com/biz/the-old-mill-north-little-rock?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AR,US,34.79,-92.25,#N/A,34.79-92.25,#N/A
