Name,Business Id,Rating,Url,State,Country,Latitude,Longitude
Alaska Railroad,XrNTiYmAX938eRGx5I-pGg,4.5,https://www.yelp.com/biz/alaska-railroad-anchorage-3?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.22,-149.89
Potter Marsh,hUd-K80t6ptGcw1dqzj0eA,5.0,https://www.yelp.com/biz/potter-marsh-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.08,-149.83
Hotel Captain Cook,_ROZoYxzRZfIIjvWSI9UMg,3.5,https://www.yelp.com/biz/hotel-captain-cook-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.22,-149.9
Ted Stevens Anchorage International Airport - ANC,SUo7YSDG6x-fp4Zq1Gvk7w,4.0,https://www.yelp.com/biz/ted-stevens-anchorage-international-airport-anc-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.18,-149.99
Tony Knowles Coastal Trail,5D6uJnZKSm-uFlXaqShN7A,4.5,https://www.yelp.com/biz/tony-knowles-coastal-trail-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.22,-149.9
Alaska Tour & Travel,lyWY1WPQjdWGLHf68vcbAA,4.5,https://www.yelp.com/biz/alaska-tour-and-travel-anchorage-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.18,-149.9
Denali National Park Reservations,6uY3rJaa8Co07KewdvHC2A,4.5,https://www.yelp.com/biz/denali-national-park-reservations-anchorage?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AK,US,61.22,-149.89
Camelback Mountain,amNromvj2O7OAYYrlDEUcQ,4.5,https://www.yelp.com/biz/camelback-mountain-phoenix?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.52,-111.97
Hole-in-the-Rock,FvnH5hw4halHa_8dKylMeA,4.5,https://www.yelp.com/biz/hole-in-the-rock-phoenix?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.46,-111.95
North Mountain Park,Fo3TzqHCUue89po8GBpf5Q,4.0,https://www.yelp.com/biz/north-mountain-park-phoenix?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.59,-112.07
Desert Botanical Garden,GIhzzb9tjqLCYdNP_k3-dQ,4.5,https://www.yelp.com/biz/desert-botanical-garden-phoenix-4?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.46,-111.94
Piestewa Peak,wghDrzcZ0VloAtaIZ7GEBg,4.5,https://www.yelp.com/biz/piestewa-peak-phoenix?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.54,-112.02
Saguaro Lake Ranch Kayaking and Tubing,4rZs1AT2mFlWXo8kxIYuiA,5.0,https://www.yelp.com/biz/saguaro-lake-ranch-kayaking-and-tubing-mesa?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.56,-111.54
The Japanese Friendship Garden Of Phoenix - Rohoen,pGLI8cMlay44bxYYjb4yIQ,4.0,https://www.yelp.com/biz/the-japanese-friendship-garden-of-phoenix-rohoen-phoenix?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.46,-112.08
South Mountain Park,3ug1xM71zxibq5RETXCi4Q,4.5,https://www.yelp.com/biz/south-mountain-park-phoenix?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.34,-112.06
Tonto National Forest,bw_ChX68QJGRkLqbaI2gXg,4.5,https://www.yelp.com/biz/tonto-national-forest-payson-3?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,34.25,-111.32
Saguaro Lake,RmbFHdbNKH22MEWrYxl8wA,4.0,https://www.yelp.com/biz/saguaro-lake-mesa?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.49,-111.68
McDowell Sonoran Preserve,j25iicjhCYo3aH7VobV39A,4.5,https://www.yelp.com/biz/mcdowell-sonoran-preserve-scottsdale?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.65,-111.86
Phoenix Mountain Preserve,8-su-O_330PebTOp60RILQ,4.5,https://www.yelp.com/biz/phoenix-mountain-preserve-phoenix-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.57,-112.05
Old Town Scottsdale,n8vlQ1TbigbbRT6_9VwIRw,4.0,https://www.yelp.com/biz/old-town-scottsdale-scottsdale-2?adjust_creative=iNzbJb0g8ZkMPdIcvK0S7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iNzbJb0g8ZkMPdIcvK0S7w,AZ,US,33.49,-111.93
