Park,Nov-22
Rosie The Riveter WWII Home Front NHP,"4,384"
Ross Lake NRA,"15,914"
Russell Cave NM,915
Sagamore Hill NHS,"5,560"
Saguaro NP,"86,306"
Saint Croix Island IHS,312
Saint Croix NSR,410
Saint Paul's Church NHS,855
Saint-Gaudens NHP,530
Salem Maritime NHS,"14,264"
Salinas Pueblo Missions NM,"2,952"
Salt River Bay NHP & Ecological Pres,707
San Antonio Missions NHP,"68,910"
San Francisco Maritime NHP,"207,570"
San Juan Island NHP,"17,319"
San Juan NHS,"73,304"
Sand Creek Massacre NHS,245
Santa Monica Mountains NRA,"60,648"
Saratoga NHP,"3,410"
Saugus Iron Works NHS,641
Scotts Bluff NM,"5,953"
Sequoia NP,"55,800"
Shenandoah NP,"114,473"
Shiloh NMP,"25,074"
Sitka NHP,"1,680"
Sleeping Bear Dunes NL,"21,563"
Springfield Armory NHS,850
Statue of Liberty NM,"218,110"
Steamtown NHS,"3,130"
Stones River NB,"15,959"
Stonewall NM,"1,375"
Sunset Crater Volcano NM,"4,784"
Tallgrass Prairie NPRES,"1,573"
Thaddeus Kosciuszko NMEM,0
Theodore Roosevelt Birthplace NHS,"2,328"
Theodore Roosevelt Inaugural NHS,"2,418"
Theodore Roosevelt Island,"17,750"
Theodore Roosevelt NP,"4,614"
Thomas Edison NHP,"2,341"
Thomas Jefferson MEM,"177,060"
Thomas Stone NHS,453
Timpanogos Cave NM,"1,295"
Timucuan EHP,"81,632"
Tonto NM,"2,593"
Tule Springs Fossil Beds NM,"5,133"
Tumacacori NHP,"2,701"
Tuskegee Airmen NHS,"1,559"
Tuskegee Institute NHS,850
Tuzigoot NM,"9,616"
Ulysses S. Grant NHS,"1,847"
Upper Delaware S&RR,"5,847"
Valles Caldera NPRES,"2,495"
Valley Forge NHP,"126,027"
Vanderbilt Mansion NHS,"21,577"
Vicksburg NMP,"20,240"
Vietnam Veterans MEM,"373,898"
Virgin Islands NP,"19,012"
Voyageurs NP,"2,473"
Waco Mammoth NM,"5,937"
Walnut Canyon NM,"25,378"
War in the Pacific NHP,"31,374"
Washington Monument,"19,450"
Washita Battlefield NHS,792
Weir Farm NHP,"1,530"
Whiskeytown NRA,"28,603"
White House,"7,374"
White Sands NP,"49,712"
Whitman Mission NHS,"2,293"
William Howard Taft NHS,"1,608"
Wilson's Creek NB,"17,640"
Wind Cave NP,"13,956"
Wolf Trap NP for the Performing Arts,"6,314"
Women's Rights NHP,"1,358"
World War I Memorial,"84,179"
World War II Memorial,"380,469"
Wrangell-St. Elias NP & PRES,60
Wright Brothers NMEM,"19,306"
Wupatki NM,"9,786"
Yellowstone NP,"17,687"
Yosemite NP,"178,786"
Yukon-Charley Rivers NPRES,0
Zion NP,"291,044"
